feature,importance,fold
p0,51.56244128940921,15
p1,21.77863476498362,15
p10,37.316511501830355,15
p11,24.68627355395319,15
p12,15.288046463387614,15
p13,29.381895866413714,15
p14,25.057627016324147,15
p15,23.181302976561668,15
p16,26.00634941140387,15
p17,29.433554024020047,15
p18,28.811695062820213,15
p19,21.89440264196989,15
p2,31.859586731054442,15
p20,23.47555991026216,15
p21,30.861263699133495,15
p22,30.12258413988721,15
p23,23.29747540949577,15
p24,7.551496253181332,15
p25,28.040157014460345,15
p26,32.89956589977186,15
p27,28.718864797931502,15
p28,28.83040878485931,15
p29,41.328405733838686,15
p3,33.069550882585204,15
p30,33.27186301588812,15
p31,34.41721130100555,15
p32,31.0345732762598,15
p33,37.54335549345626,15
p34,44.37115513569079,15
p35,31.01684944871066,15
p36,30.874950672977857,15
p37,31.716661996064143,15
p38,34.14383908252219,15
p39,32.849710127416856,15
p4,30.287797960341894,15
p40,31.722238499648185,15
p41,23.45884374504621,15
p42,33.19713116369887,15
p43,25.679397127545343,15
p44,25.16545431529447,15
p45,27.216511317545724,15
p46,30.599445371194072,15
p47,35.084427450366874,15
p48,28.362615809353247,15
p49,29.86867756016737,15
p5,35.99693853366167,15
p50,28.899818358867464,15
p51,26.30448558260043,15
p52,24.256241599807666,15
p53,28.066879848942808,15
p54,26.5766362846891,15
p55,26.23721491452859,15
p56,31.87708887487957,15
p57,25.35282792423471,15
p58,22.722287209267936,15
p59,28.23873157484074,15
p6,29.592589184977385,15
p60,30.507301132857744,15
p61,24.540306010497915,15
p62,30.289409561738957,15
p63,28.070661484006987,15
p64,25.590234291813314,15
p65,25.207205076374933,15
p7,34.27459476502515,15
p9,30.707156954690337,15
p_sum,38.67684122060894,15
p_sum_count,38.77251304628411,15
p_svd_0,49.966644955336804,15
p_svd_1,52.44414954652082,15
p_svd_10,50.677099736379475,15
p_svd_11,50.60803704101085,15
p_svd_12,50.61971470510202,15
p_svd_13,50.44748401641877,15
p_svd_14,50.7413328676581,15
p_svd_15,50.71600151446326,15
p_svd_16,50.56759367986833,15
p_svd_18,50.85019936312343,15
p_svd_19,50.572092360093535,15
p_svd_2,50.93589035997562,15
p_svd_3,50.60618634042258,15
p_svd_4,50.63722499173538,15
p_svd_5,50.812510490267286,15
p_svd_6,50.477383282966926,15
p_svd_7,50.5985234545054,15
p_svd_8,50.75120780468839,15
p_svd_9,50.61886679258956,15
pid_count,53.95175282497501,15
plan_hour,59.92755542103447,15
plan_hour_count,40.35219143633152,15
plan_hour_target_0,42.64315020755278,15
plan_hour_target_1,40.64777793285327,15
plan_hour_target_10,41.05796845468226,15
plan_hour_target_11,39.980608809209556,15
plan_hour_target_2,41.19056085457112,15
plan_hour_target_3,39.86284667045699,15
plan_hour_target_4,42.36251027345684,15
plan_hour_target_5,40.13207150776025,15
plan_hour_target_6,39.47589183638554,15
plan_hour_target_7,40.10948144175525,15
plan_hour_target_8,39.61247157200684,15
plan_hour_target_9,39.53852142008669,15
plan_req_time_diff,28.234295482993296,15
plan_weekday,47.52651174659469,15
plan_weekday_count,37.63126198790668,15
plan_weekday_target_0,40.26110086603828,15
plan_weekday_target_1,39.205533014402604,15
plan_weekday_target_10,40.44957610387408,15
plan_weekday_target_11,40.408840799683034,15
plan_weekday_target_2,39.79502572345957,15
plan_weekday_target_3,41.80414149352473,15
plan_weekday_target_4,40.95261309313481,15
plan_weekday_target_5,37.986718659767895,15
plan_weekday_target_6,39.215534368937185,15
plan_weekday_target_7,39.53906688520212,15
plan_weekday_target_8,39.90207946109735,15
plan_weekday_target_9,38.1857110274136,15
plans_0_distance,68.32847741457448,15
plans_0_eta,58.12613600595861,15
plans_0_price,63.842014994934175,15
plans_0_transport_mode,76.60365009137752,15
plans_1_eta,57.75717713627601,15
plans_1_price,50.06117847137356,15
plans_1_transport_mode,56.90565656397394,15
plans_2_eta,54.45615092112964,15
plans_2_price,55.42632024263695,15
plans_2_transport_mode,63.74005595075481,15
plans_3_price,55.8729413807167,15
plans_3_transport_mode,65.99581379321852,15
plans_4_price,56.81887844465854,15
plans_4_transport_mode,62.47013994244638,15
plans_5_transport_mode,56.31932010973972,15
plans_6_transport_mode,38.46331426153599,15
queries_d_count,55.77881864630545,15
queries_o_count,57.17037039639926,15
queries_o_d_count,53.34189783445483,15
queries_x_d_count,51.59251946614449,15
queries_x_o_count,51.44431569355408,15
queries_y_d_count,51.07739951915333,15
queries_y_o_count,51.23895195553492,15
