feature,importance,fold
pid_count,56.935280323634444,15
plan_0_distance,71.10410929050627,15
plan_0_distance_eta_ratio,55.04443977389275,15
plan_0_eta,54.07281894477059,15
plan_0_price,47.76493016730085,15
plan_0_price_distance_ratio,50.06153564763503,15
plan_0_price_eta_ratio,53.780407123647805,15
plan_0_transport_mode,73.04974707173035,15
plan_0_transport_mode_count,73.16039732571181,15
plan_0_transport_mode_target_0,71.87545442706661,15
plan_0_transport_mode_target_1,75.8661550003413,15
plan_0_transport_mode_target_10,66.5864139974304,15
plan_0_transport_mode_target_11,65.65852684586277,15
plan_0_transport_mode_target_2,73.45003130706293,15
plan_0_transport_mode_target_3,71.13836796906114,15
plan_0_transport_mode_target_4,68.67484568830973,15
plan_0_transport_mode_target_5,70.37896816527689,15
plan_0_transport_mode_target_6,67.7672829959229,15
plan_0_transport_mode_target_7,75.95116568294686,15
plan_0_transport_mode_target_8,58.90168606733718,15
plan_0_transport_mode_target_9,74.56326160385687,15
plan_1_distance_eta_ratio,51.75105054539469,15
plan_1_distance_ratio_0,52.827344235087736,15
plan_1_eta,51.37447447110447,15
plan_1_eta_ratio_0,55.45943891249344,15
plan_1_price,42.86614616022615,15
plan_1_price_distance_ratio,46.35333275767797,15
plan_1_price_eta_ratio,44.02505332952777,15
plan_1_price_ratio_0,40.831038437859945,15
plan_1_transport_mode,49.34082684957176,15
plan_1_transport_mode_count,49.84273329382409,15
plan_1_transport_mode_target_0,46.67034802515299,15
plan_1_transport_mode_target_1,50.80339761345613,15
plan_1_transport_mode_target_10,51.5509277969329,15
plan_1_transport_mode_target_11,42.627279687630285,15
plan_1_transport_mode_target_2,54.886823083756475,15
plan_1_transport_mode_target_3,46.56699558361506,15
plan_1_transport_mode_target_4,46.68298597046672,15
plan_1_transport_mode_target_5,37.89141635761552,15
plan_1_transport_mode_target_6,38.68267611255795,15
plan_1_transport_mode_target_7,47.5274201326791,15
plan_1_transport_mode_target_8,41.70410005930568,15
plan_1_transport_mode_target_9,50.15230635277776,15
plan_2_distance_eta_ratio,53.08062968988108,15
plan_2_distance_ratio_0,53.56900406638258,15
plan_2_eta,51.56038526209609,15
plan_2_eta_ratio_0,54.09460961486987,15
plan_2_price,49.09582414879556,15
plan_2_price_distance_ratio,51.697856969814296,15
plan_2_price_eta_ratio,50.72812655207663,15
plan_2_price_ratio_0,50.10087160232897,15
plan_2_transport_mode,64.54413132679888,15
plan_2_transport_mode_count,46.036503854019784,15
plan_2_transport_mode_target_0,54.983488306512015,15
plan_2_transport_mode_target_1,57.28623091672355,15
plan_2_transport_mode_target_10,57.52256271908476,15
plan_2_transport_mode_target_11,58.87704780956344,15
