feature,importance,fold
pid_count,51.182343854489446,15
plan_0_distance,62.201487768913324,15
plan_0_distance_eta_prod,53.99474753870471,15
plan_0_distance_eta_prod_rank,33.16272850619398,15
plan_0_distance_eta_ratio,48.46633617424111,15
plan_0_distance_eta_ratio_rank,38.206005733205195,15
plan_0_distance_rank,35.8429971179812,15
plan_0_eta,46.16713395758181,15
plan_0_eta_rank,33.89007348754378,15
plan_0_price,46.379866521621736,15
plan_0_price_distance_eta_prod,40.63197484141263,15
plan_0_price_distance_prod,40.505585690898485,15
plan_0_price_distance_ratio,42.602587872316604,15
plan_0_price_eta_ratio,51.378147421978454,15
plan_0_price_rank,31.488511698877794,15
plan_0_transport_mode,71.41836369098166,15
plan_0_transport_mode_count,68.15820223135967,15
plan_0_transport_mode_count_rank,43.336302041172175,15
plan_0_transport_mode_target_0,68.2551442737297,15
plan_0_transport_mode_target_1,65.09837968799008,15
plan_0_transport_mode_target_10,30.355992454361107,15
plan_0_transport_mode_target_11,41.78164161861011,15
plan_0_transport_mode_target_2,65.144026061107,15
plan_0_transport_mode_target_3,61.028870768269464,15
plan_0_transport_mode_target_4,56.423670591612364,15
plan_0_transport_mode_target_5,66.38706158380683,15
plan_0_transport_mode_target_6,52.87460166731153,15
plan_0_transport_mode_target_7,67.05589079899526,15
plan_0_transport_mode_target_8,36.38426133426484,15
plan_0_transport_mode_target_9,66.21047274698049,15
plan_1_distance_eta_prod,51.774096547124394,15
plan_1_distance_eta_prod_rank,29.35912829358868,15
plan_1_distance_eta_prod_ratio_0,45.94556196995155,15
plan_1_distance_eta_prod_ratio_0_rank,28.021016234227766,15
plan_1_distance_eta_ratio,44.36063415382127,15
plan_1_distance_eta_ratio_rank,31.499871360325173,15
plan_1_distance_rank,34.05433908238514,15
plan_1_distance_ratio_0,44.68271610815205,15
plan_1_distance_ratio_0_rank,32.157398891995584,15
plan_1_eta,43.58126299841971,15
plan_1_eta_rank,23.00134448747042,15
plan_1_eta_ratio_0,48.08201200681223,15
plan_1_eta_ratio_0_rank,27.409931791132962,15
plan_1_price,32.260870778953105,15
plan_1_price_distance_eta_prod,31.323710464923963,15
plan_1_price_distance_eta_prod_ratio_0,28.1144580677756,15
plan_1_price_distance_prod,31.758884369703807,15
plan_1_price_distance_prod_ratio_0,28.898937232446244,15
plan_1_price_distance_ratio,34.271567480974575,15
plan_1_price_eta_prod_ratio_0,27.071030093300962,15
plan_1_price_eta_ratio,33.489296063235244,15
plan_1_price_rank,34.915203255850045,15
plan_1_price_ratio_0,27.054486084434764,15
plan_1_transport_mode,35.52347007179847,15
plan_1_transport_mode_count,33.31926760231479,15
plan_1_transport_mode_count_rank,30.46398201092054,15
plan_1_transport_mode_target_0,27.621736160401927,15
plan_1_transport_mode_target_1,35.62316664538055,15
plan_1_transport_mode_target_10,8.705207822798627,15
plan_1_transport_mode_target_11,19.90711908443223,15
plan_1_transport_mode_target_2,30.940900678606134,15
plan_1_transport_mode_target_3,37.2503835230115,15
plan_1_transport_mode_target_4,40.212500868361026,15
plan_1_transport_mode_target_5,29.746891916525282,15
plan_1_transport_mode_target_6,24.695795668142033,15
plan_1_transport_mode_target_7,31.241679678095565,15
plan_1_transport_mode_target_8,20.582742898720504,15
plan_1_transport_mode_target_9,40.46638892690573,15
plan_2_distance_eta_prod,44.53428315782402,15
plan_2_distance_eta_prod_rank,32.91423445428802,15
plan_2_distance_eta_prod_ratio_0,45.59490030837222,15
plan_2_distance_eta_prod_ratio_0_rank,31.939596647416316,15
