feature,importance,fold
plan_0_distance,65.5069869295981,15
plan_0_distance_eta_ratio,48.384333453271694,15
plan_0_eta,47.84321394238312,15
plan_0_price,42.770300592498785,15
plan_0_price_distance_ratio,43.28896199369082,15
plan_0_price_eta_ratio,46.98677837814764,15
plan_0_transport_mode,66.13854054191702,15
plan_0_transport_mode_count,70.44770409674554,15
plan_0_transport_mode_target_0,65.03385982897953,15
plan_0_transport_mode_target_1,66.09136240013663,15
plan_0_transport_mode_target_10,53.23855293422136,15
plan_0_transport_mode_target_11,54.21341682489816,15
plan_0_transport_mode_target_2,65.15254084499165,15
plan_0_transport_mode_target_3,56.466313523485326,15
plan_0_transport_mode_target_4,54.848784374830345,15
plan_0_transport_mode_target_5,56.38833076554553,15
plan_0_transport_mode_target_6,60.965362017139526,15
plan_0_transport_mode_target_7,67.37906514542624,15
plan_0_transport_mode_target_8,49.77981351463736,15
plan_0_transport_mode_target_9,66.8803509911442,15
plan_1_distance_eta_ratio,44.53601082636028,15
plan_1_distance_ratio_0,45.78459763037725,15
plan_1_eta,45.26496809892243,15
plan_1_eta_ratio_0,49.16300391815631,15
plan_1_price,35.7934451073164,15
plan_1_price_distance_ratio,38.367023954242235,15
plan_1_price_eta_ratio,37.429293105331126,15
plan_1_price_ratio_0,33.565824764135,15
plan_1_transport_mode,43.608557464016144,15
plan_1_transport_mode_count,44.110199931330435,15
plan_1_transport_mode_target_0,44.270814823423876,15
plan_1_transport_mode_target_1,45.72161151522648,15
plan_1_transport_mode_target_10,39.23333195242489,15
plan_1_transport_mode_target_11,33.675425091813935,15
plan_1_transport_mode_target_2,47.14945719718607,15
plan_1_transport_mode_target_3,36.71648198929127,15
plan_1_transport_mode_target_4,42.17989292951064,15
plan_1_transport_mode_target_5,31.16035780946173,15
plan_1_transport_mode_target_6,24.43442335312293,15
plan_1_transport_mode_target_7,35.31707377820177,15
plan_1_transport_mode_target_8,31.912078600083575,15
plan_1_transport_mode_target_9,33.00584522352919,15
plan_2_distance_eta_ratio,45.63836862567202,15
plan_2_distance_ratio_0,46.14839868533585,15
plan_2_eta,44.15290126139314,15
plan_2_eta_ratio_0,47.579516589018006,15
plan_2_price,41.88990795418012,15
plan_2_price_distance_ratio,43.73267202997967,15
plan_2_price_eta_ratio,43.015832269670696,15
plan_2_price_ratio_0,41.99111411081657,15
plan_2_transport_mode,57.22330350532941,15
plan_2_transport_mode_count,40.954047594326454,15
plan_2_transport_mode_target_0,51.473668587072915,15
plan_2_transport_mode_target_1,53.32953476843545,15
plan_2_transport_mode_target_10,37.699528400717845,15
plan_2_transport_mode_target_11,49.47459371652732,15
plan_2_transport_mode_target_2,49.396911483485326,15
plan_2_transport_mode_target_3,35.592355347339016,15
plan_2_transport_mode_target_4,41.82855844902015,15
plan_2_transport_mode_target_5,41.205353091708886,15
plan_2_transport_mode_target_6,46.609889021315816,15
plan_2_transport_mode_target_7,55.18247816179983,15
plan_2_transport_mode_target_8,46.08211920100142,15
plan_2_transport_mode_target_9,50.888917566537145,15
plan_3_distance_eta_ratio,51.96279879036762,15
plan_3_eta,46.885606023306124,15
plan_3_price,41.42127330593565,15
plan_3_price_distance_ratio,44.53753062098675,15
plan_3_price_eta_ratio,44.14453732538127,15
plan_3_price_ratio_0,43.55538285848392,15
plan_3_transport_mode,59.07445066506527,15
plan_3_transport_mode_count,45.42136858950149,15
plan_3_transport_mode_target_0,51.326437929658084,15
plan_3_transport_mode_target_1,47.703115993337676,15
plan_3_transport_mode_target_10,47.75749558403032,15
plan_3_transport_mode_target_11,49.89849972123767,15
plan_3_transport_mode_target_2,52.7352889493651,15
plan_3_transport_mode_target_3,48.56003101864623,15
plan_3_transport_mode_target_4,40.66527754504036,15
plan_3_transport_mode_target_5,38.685868134141195,15
plan_3_transport_mode_target_6,51.388603451608176,15
plan_3_transport_mode_target_7,49.41950039378361,15
plan_3_transport_mode_target_8,43.23994400311316,15
plan_3_transport_mode_target_9,55.43582369131603,15
plan_4_distance_eta_ratio,51.14130575342256,15
plan_4_eta,45.63542423588537,15
plan_4_price,41.21389652895664,15
plan_4_price_distance_ratio,45.17458595173832,15
plan_4_price_eta_ratio,45.54102553109942,15
plan_4_price_ratio_0,41.872041836305726,15
plan_4_transport_mode,52.68263663658806,15
plan_4_transport_mode_count,45.4713892474859,15
plan_4_transport_mode_target_0,40.411264712906316,15
plan_4_transport_mode_target_1,39.46741958992542,15
plan_4_transport_mode_target_10,50.571004846819136,15
plan_4_transport_mode_target_11,45.391127405538896,15
plan_4_transport_mode_target_2,43.92276932171306,15
plan_4_transport_mode_target_3,46.73234770199339,15
plan_4_transport_mode_target_4,28.585542588827618,15
plan_4_transport_mode_target_5,36.33610297137007,15
plan_4_transport_mode_target_6,41.91081387148925,15
plan_4_transport_mode_target_7,51.9423235618838,15
plan_4_transport_mode_target_8,32.950927658401675,15
plan_4_transport_mode_target_9,50.57168586199334,15
plan_5_transport_mode_target_0,31.99261540070382,15
plan_5_transport_mode_target_1,32.46034567787065,15
plan_5_transport_mode_target_10,35.42383004882794,15
plan_5_transport_mode_target_11,39.0340425083571,15
plan_5_transport_mode_target_2,40.324112255389636,15
plan_5_transport_mode_target_3,36.649710149080526,15
plan_5_transport_mode_target_4,22.860814973500574,15
plan_5_transport_mode_target_5,36.99559327753135,15
plan_5_transport_mode_target_6,32.238222305371224,15
plan_5_transport_mode_target_7,44.522673999613886,15
plan_5_transport_mode_target_8,31.760351116377954,15
plan_5_transport_mode_target_9,40.90094629816731,15
plan_6_transport_mode_target_0,23.910118058636954,15
plan_6_transport_mode_target_1,18.104409796396205,15
plan_6_transport_mode_target_10,16.243323322570234,15
plan_6_transport_mode_target_11,12.768767100389582,15
plan_6_transport_mode_target_2,17.85878714619175,15
plan_6_transport_mode_target_3,20.02850111123743,15
plan_6_transport_mode_target_4,7.828061882566206,15
plan_6_transport_mode_target_5,17.77090754986302,15
plan_6_transport_mode_target_6,14.488856795286964,15
plan_6_transport_mode_target_7,11.660104138396136,15
plan_6_transport_mode_target_8,17.718541016002774,15
plan_6_transport_mode_target_9,18.926835919835987,15
plan_distance_eta_ratio_max_plan,40.6947631303853,15
plan_distance_eta_ratio_max_plan_count,33.81444550569205,15
plan_distance_eta_ratio_mean,43.68666474579134,15
plan_distance_eta_ratio_min,54.11668242501925,15
plan_distance_eta_ratio_min_plan,48.66621325930461,15
plan_distance_eta_ratio_min_plan_count,44.44842189198282,15
plan_distance_eta_ratio_skew,46.774490086749886,15
plan_distance_eta_ratio_sum,44.91866589923121,15
plan_distance_eta_ratio_var,46.14931773330511,15
plan_distance_max_plan,47.925183170999,15
plan_distance_max_plan_count,38.77740686240873,15
plan_distance_min_plan,42.96459754411352,15
plan_distance_min_plan_count,35.95545697369481,15
plan_distance_ratio_0_max_plan,57.79225227435786,15
plan_distance_ratio_0_max_plan_count,37.598528395479235,15
plan_distance_ratio_0_min_plan,44.97647183748376,15
plan_distance_ratio_0_min_plan_count,36.959804218268694,15
plan_distance_ratio_0_skew,46.48360354419942,15
plan_distance_ratio_0_var,47.255241749255006,15
plan_distance_skew,46.73586505623129,15
plan_distance_var,46.66178156293834,15
plan_eta_max_plan,45.84141568675756,15
plan_eta_max_plan_count,43.38956828541285,15
plan_eta_mean,51.466732268417196,15
plan_eta_min_plan,40.809273202282824,15
plan_eta_min_plan_count,43.15490047329268,15
plan_eta_ratio_0_max_plan,57.4749890090781,15
plan_eta_ratio_0_max_plan_count,48.95654029181989,15
plan_eta_ratio_0_min_plan,36.11401245049232,15
plan_eta_ratio_0_skew,47.55585280864487,15
plan_eta_ratio_0_var,48.55729640936329,15
plan_eta_skew,48.897293965775255,15
plan_eta_sum,47.81747120488851,15
plan_eta_var,49.10443143925596,15
plan_hour,55.45506232423584,15
plan_hour_count,41.98512376051492,15
plan_hour_target_0,36.90677263051866,15
plan_hour_target_1,33.036822833901994,15
plan_hour_target_10,33.29224123854962,15
plan_hour_target_11,31.254994972511884,15
plan_hour_target_2,32.14475231498313,15
plan_hour_target_3,31.024084262712897,15
plan_hour_target_4,39.7882322825149,15
plan_hour_target_5,31.870682236415764,15
plan_hour_target_6,30.753730909153568,15
plan_hour_target_7,30.88442785551637,15
plan_hour_target_8,32.10511335241207,15
plan_hour_target_9,31.333265834829998,15
plan_num_free_plans,49.52213967746748,15
plan_num_free_plans_target_0,54.06369653975722,15
plan_num_free_plans_target_1,45.664539517849576,15
plan_num_free_plans_target_10,0.0,15
plan_num_free_plans_target_11,0.0,15
plan_num_free_plans_target_2,36.41731545744796,15
plan_num_free_plans_target_3,30.295894376125545,15
plan_num_free_plans_target_4,31.41680914557648,15
plan_num_free_plans_target_5,30.537986972770835,15
plan_num_free_plans_target_6,9.954472411299532,15
plan_num_free_plans_target_7,17.566047146301617,15
plan_num_free_plans_target_8,11.108822771606516,15
plan_num_free_plans_target_9,24.907955353940494,15
plan_num_plans,18.259052276529104,15
plan_num_plans_target_0,27.579609069717225,15
plan_num_plans_target_1,19.599288878717584,15
plan_num_plans_target_10,1.9362479259838348,15
plan_num_plans_target_11,14.140815481557945,15
plan_num_plans_target_2,24.26196199577818,15
plan_num_plans_target_3,23.10004221608046,15
plan_num_plans_target_4,6.709133885657611,15
plan_num_plans_target_5,23.02600183961827,15
plan_num_plans_target_6,16.282769610262832,15
plan_num_plans_target_7,19.48250220716404,15
plan_num_plans_target_8,22.712274117974285,15
plan_num_plans_target_9,2.249012330257677,15
plan_price_distance_ratio_max_plan,35.416165564465736,15
plan_price_distance_ratio_mean,45.79637407375863,15
plan_price_distance_ratio_min,30.12622525071505,15
plan_price_distance_ratio_min_plan,36.87764574725091,15
plan_price_distance_ratio_var,45.440699168920126,15
plan_price_eta_ratio_max_plan,41.61113170403352,15
plan_price_eta_ratio_mean,44.4286581717701,15
plan_price_eta_ratio_min,30.427636838525444,15
plan_price_eta_ratio_min_plan,30.119536264288385,15
plan_price_eta_ratio_var,46.01313223183647,15
plan_price_max_plan,37.5933378208735,15
plan_price_max_plan_count,36.23857787702877,15
plan_price_mean,52.58966578451774,15
plan_price_min,27.701342664197817,15
plan_price_min_plan,44.67435937952682,15
plan_price_min_plan_count,39.98339149220598,15
plan_price_ratio_0_max_plan,44.31859752902405,15
plan_price_ratio_0_max_plan_count,42.56960352516339,15
plan_price_ratio_0_mean,42.37407258618817,15
plan_price_ratio_0_min,25.01366482025837,15
plan_price_ratio_0_min_plan,35.93033418169613,15
plan_price_ratio_0_min_plan_count,37.36671605993629,15
plan_price_ratio_0_skew,45.23883970042994,15
plan_price_ratio_0_sum,42.199609038095815,15
plan_price_ratio_0_var,47.15554148195431,15
plan_price_skew,47.02346739068224,15
plan_price_var,44.254487232557466,15
plan_time_diff,49.07480825992926,15
plan_weekday,40.61348845649532,15
plan_weekday_count,42.02258737258212,15
plan_weekday_hour_count,43.82955271364001,15
plan_weekday_hour_target_0,45.71946608030427,15
plan_weekday_hour_target_1,42.66115838742172,15
plan_weekday_hour_target_10,44.292919934665655,15
plan_weekday_hour_target_11,43.111208287190706,15
plan_weekday_hour_target_2,41.777604907333156,15
plan_weekday_hour_target_3,44.62507038699021,15
plan_weekday_hour_target_4,44.235640110364486,15
plan_weekday_hour_target_5,42.078914317227415,15
plan_weekday_hour_target_6,42.764807407381326,15
plan_weekday_hour_target_7,41.56213691141368,15
plan_weekday_hour_target_8,43.202504607178895,15
plan_weekday_hour_target_9,41.3029206913054,15
plan_weekday_target_0,36.69197060708778,15
plan_weekday_target_1,35.70782895490298,15
plan_weekday_target_10,32.59407090763955,15
plan_weekday_target_11,30.60824875141254,15
plan_weekday_target_2,32.51495326952125,15
plan_weekday_target_3,35.54967021857839,15
plan_weekday_target_4,33.04736050039042,15
plan_weekday_target_5,27.145753667805828,15
plan_weekday_target_6,29.33674264207665,15
plan_weekday_target_7,29.78589405912873,15
plan_weekday_target_8,29.958912465035052,15
plan_weekday_target_9,18.02026022897143,15
