feature,importance,fold
plan_0_distance,64.21890697167325,15
plan_0_distance_eta_prod,47.6628350792025,15
plan_0_distance_eta_prod_rank,26.28506190088539,15
plan_0_distance_eta_ratio,46.72884946771306,15
plan_0_distance_eta_ratio_rank,31.948906226346566,15
plan_0_distance_rank,33.43583915185715,15
plan_0_eta,44.94865288119385,15
plan_0_eta_rank,25.540251969696076,15
plan_0_price,38.37018740276558,15
plan_0_price_distance_eta_prod,37.664141198128284,15
plan_0_price_distance_eta_prod_rank,26.924804732909188,15
plan_0_price_distance_prod,38.66236734472506,15
plan_0_price_distance_prod_rank,27.87553073799524,15
plan_0_price_distance_ratio,40.38567754085094,15
plan_0_price_distance_ratio_rank,27.79386680877617,15
plan_0_price_eta_prod,41.61066723258597,15
plan_0_price_eta_prod_rank,34.873469507548386,15
plan_0_price_eta_ratio,45.0186938926733,15
plan_0_price_eta_ratio_rank,26.33695737677925,15
plan_0_price_rank,38.15201174151341,15
plan_0_transport_mode,63.897018257246344,15
plan_0_transport_mode_count,63.17634606817596,15
plan_0_transport_mode_count_rank,43.66360273491392,15
plan_0_transport_mode_target_0,64.71151479614328,15
plan_0_transport_mode_target_1,67.54943230707195,15
plan_0_transport_mode_target_10,59.001380357026626,15
plan_0_transport_mode_target_11,57.251166583298954,15
plan_0_transport_mode_target_2,66.96206355350215,15
plan_0_transport_mode_target_3,63.133338224784595,15
plan_0_transport_mode_target_4,60.11429800457026,15
plan_0_transport_mode_target_5,60.94398443034993,15
plan_0_transport_mode_target_6,58.95089456994496,15
plan_0_transport_mode_target_7,68.63907585308786,15
plan_0_transport_mode_target_8,51.20579384191561,15
plan_0_transport_mode_target_9,67.21077621424918,15
plan_1_distance,37.38369938730517,15
plan_1_distance_eta_prod,36.61913664791952,15
plan_1_distance_eta_prod_rank,28.361972244711332,15
plan_1_distance_eta_prod_ratio_0,41.04594787093899,15
plan_1_distance_eta_prod_ratio_0_rank,29.633431380736795,15
plan_1_distance_eta_ratio,42.055406993432904,15
plan_1_distance_eta_ratio_rank,31.220657965677532,15
plan_1_distance_rank,33.8095733806591,15
plan_1_distance_ratio_0,41.37893878528948,15
plan_1_distance_ratio_0_rank,32.2027071214878,15
plan_1_eta,40.10638087928417,15
plan_1_eta_rank,24.608525622209186,15
plan_1_eta_ratio_0,42.95554227655795,15
plan_1_eta_ratio_0_rank,26.65878878003309,15
plan_1_price,30.637122078281948,15
plan_1_price_distance_eta_prod,30.241247975398036,15
plan_1_price_distance_eta_prod_rank,23.77604419605942,15
plan_1_price_distance_eta_prod_ratio_0,28.333601105320664,15
plan_1_price_distance_eta_prod_ratio_0_rank,27.667812282181842,15
plan_1_price_distance_prod,30.41721900130702,15
plan_1_price_distance_prod_rank,23.86266586188718,15
plan_1_price_distance_prod_ratio_0,27.178501805537586,15
plan_1_price_distance_prod_ratio_0_rank,25.228766487661478,15
plan_1_price_distance_ratio,36.61979058020842,15
plan_1_price_distance_ratio_rank,18.95955714646134,15
plan_1_price_eta_prod,31.675461621607333,15
plan_1_price_eta_prod_rank,21.604924532439597,15
plan_1_price_eta_prod_ratio_0,28.893352941809905,15
plan_1_price_eta_prod_ratio_0_rank,25.59286267883473,15
plan_1_price_eta_ratio,32.10984887706048,15
plan_1_price_eta_ratio_rank,21.705661023425584,15
plan_1_price_rank,21.0297504850231,15
plan_1_price_ratio_0,25.24009567112256,15
plan_1_price_ratio_0_rank,26.204714117553777,15
plan_1_transport_mode,38.87988040640545,15
plan_1_transport_mode_count,41.51176060181619,15
plan_1_transport_mode_count_rank,29.436666465617755,15
plan_1_transport_mode_target_0,38.645712058361994,15
plan_1_transport_mode_target_1,41.993075726472554,15
plan_1_transport_mode_target_10,42.408821621011334,15
plan_1_transport_mode_target_11,34.01245014181367,15
plan_1_transport_mode_target_2,47.179978325583534,15
plan_1_transport_mode_target_3,37.33018499967042,15
plan_1_transport_mode_target_4,38.646881383760245,15
plan_1_transport_mode_target_5,29.281045262104563,15
plan_1_transport_mode_target_6,28.63636018428508,15
plan_1_transport_mode_target_7,39.5997726243058,15
plan_1_transport_mode_target_8,30.98746653018429,15
plan_1_transport_mode_target_9,42.51769241436935,15
plan_2_distance,37.95551958722473,15
plan_2_distance_eta_prod,38.42718738445647,15
plan_2_distance_eta_prod_rank,29.85304890181423,15
plan_2_distance_eta_prod_ratio_0,41.888776120158,15
plan_2_distance_eta_prod_ratio_0_rank,29.768185925729327,15
plan_2_distance_eta_ratio,44.377032850181315,15
plan_2_distance_eta_ratio_rank,33.10359299135003,15
plan_2_distance_rank,34.46633782053508,15
plan_2_distance_ratio_0,42.395660017009895,15
plan_2_distance_ratio_0_rank,33.858504715857286,15
plan_2_eta,40.56420455223104,15
plan_2_eta_rank,28.9651867313856,15
plan_2_eta_ratio_0,42.71756189250641,15
plan_2_eta_ratio_0_rank,27.34178738417635,15
plan_2_price,37.525817265573686,15
