feature,importance,fold
pid_count,63.58979796250697,15
profile_0,58.88826207167466,15
profile_1,35.84891398020487,15
profile_10,49.75633252046153,15
profile_11,32.60766067178012,15
profile_12,17.024020299471395,15
profile_13,40.9998500081521,15
profile_14,27.718180572145187,15
profile_15,31.293882569348227,15
profile_16,35.64385063113772,15
profile_17,36.42651025753784,15
profile_18,35.4577625018585,15
profile_19,33.227104928197654,15
profile_2,47.40695539324753,15
profile_20,27.11507494264994,15
profile_21,36.19192432467057,15
profile_22,34.01073550192098,15
profile_23,28.525752386597027,15
profile_24,18.28800873876216,15
profile_25,38.56462284442276,15
profile_26,46.37191861903236,15
profile_27,47.0326267997414,15
profile_28,43.24087034394721,15
profile_29,48.643355724195544,15
profile_3,45.278342832232,15
profile_30,44.88879477292988,15
profile_31,47.59495498597609,15
profile_32,46.24166641271593,15
profile_33,48.50166408172524,15
profile_34,52.512926203022445,15
profile_35,46.354655004445554,15
profile_36,48.049683499990664,15
profile_37,47.279818487950564,15
profile_38,42.51693702670561,15
profile_39,40.77305325872487,15
profile_4,41.99088685920042,15
profile_40,38.336769177324975,15
profile_41,30.099073308841476,15
profile_42,40.78284106215703,15
profile_43,34.76700084293921,15
profile_44,31.879361601044657,15
profile_45,35.269185468916454,15
profile_46,37.78066368711107,15
profile_47,44.44052693926653,15
profile_48,34.745382353515154,15
profile_49,42.08689321691891,15
profile_5,36.7071442297162,15
profile_50,38.21021331696021,15
profile_51,35.47670848487613,15
profile_52,30.922394965449925,15
profile_53,35.33404485786181,15
profile_54,40.461307747688565,15
profile_55,35.30921365659821,15
profile_56,38.068049167477014,15
profile_57,40.58193137672086,15
profile_58,29.188770675240036,15
profile_59,34.59733112087762,15
profile_6,28.793164838258015,15
profile_60,47.29664750635033,15
profile_61,41.02004221025959,15
profile_62,46.00646278710965,15
profile_63,45.259670316604144,15
profile_64,32.11113337073292,15
profile_65,29.912616202693755,15
profile_7,46.02734493743374,15
profile_8,46.39717920306003,15
profile_9,46.07921642950619,15
queries_d_count,69.680403227696,15
queries_d_round_count,59.513032673051256,15
queries_distance,76.30521074591874,15
queries_distance_round,57.11552462328638,15
queries_distance_round_count,44.135456927252875,15
queries_distance_round_target_0,49.766982809242506,15
queries_distance_round_target_1,50.444728791330974,15
queries_distance_round_target_10,53.652826930633424,15
queries_distance_round_target_11,48.04231363632914,15
queries_distance_round_target_2,52.66216858437641,15
queries_distance_round_target_3,43.11761451350952,15
queries_distance_round_target_4,49.354201666035664,15
queries_distance_round_target_5,62.787287733361254,15
queries_distance_round_target_6,59.53095082944654,15
queries_distance_round_target_7,57.98516992172691,15
queries_distance_round_target_8,41.41508226602491,15
queries_distance_round_target_9,57.0963694976073,15
queries_hour,69.70489460979269,15
queries_hour_count,57.239422739642166,15
queries_is_holiday,47.93522474318307,15
queries_o_count,70.0499262022708,15
queries_o_d_count,65.83831146458728,15
queries_o_d_hour_count,53.163562242244964,15
queries_o_d_is_holiday_count,59.214869779565,15
queries_o_d_round_count,60.69017299972504,15
queries_o_d_weekday_count,54.64560868303204,15
queries_o_hour_count,53.235993125234074,15
queries_o_is_holiday_count,58.24297137426916,15
queries_o_round_count,58.83151063249803,15
queries_o_weekday_count,54.62697164198585,15
queries_weekday,61.37295776900037,15
queries_weekday_count,54.023794574348145,15
queries_x_d_count,62.705284885083316,15
queries_x_d_round_count,44.9817976395138,15
queries_x_o_count,62.247223239608,15
queries_x_o_round_count,44.862470626736005,15
queries_y_d_count,63.37231088168059,15
queries_y_d_round_count,45.722438028374306,15
queries_y_o_count,62.561544995959274,15
queries_y_o_round_count,44.85370313278908,15
x_d,60.44065349714542,15
x_d_round,68.53988031877583,15
x_d_round_target_0,58.77190534946646,15
x_d_round_target_1,47.00138162110075,15
x_d_round_target_10,47.99659170149089,15
x_d_round_target_11,46.29753349983838,15
x_d_round_target_2,48.457950021932156,15
x_d_round_target_3,42.95243081159323,15
