feature,importance,fold
pid_count,25.406752809800988,15
plan_0_distance,328.2259314099502,15
plan_0_distance_eta_prod,111.7515559145016,15
plan_0_distance_eta_prod_rank,21.127139160736807,15
plan_0_distance_eta_ratio,23.639787232195616,15
plan_0_distance_eta_ratio_rank,28.45682199710594,15
plan_0_distance_rank,18.9557705398304,15
plan_0_eta,22.285812043664876,15
plan_0_eta_rank,23.551981991051022,15
plan_0_price,55.40850104741463,15
plan_0_price_distance_eta_prod,21.517656672035468,15
plan_0_price_distance_prod,23.833382087097483,15
plan_0_price_distance_ratio,21.752694057290793,15
plan_0_price_eta_prod,22.01707331256241,15
plan_0_price_eta_ratio,26.834002320427793,15
plan_0_price_rank,25.861869989583884,15
plan_0_transport_mode,1486.4944976090517,15
plan_0_transport_mode_count,2728.3315485993826,15
plan_0_transport_mode_count_rank,37.74113852182864,15
plan_0_transport_mode_target_0,2148.264360684004,15
plan_0_transport_mode_target_1,2191.308681886292,15
plan_0_transport_mode_target_10,395.2479448813441,15
plan_0_transport_mode_target_11,606.8647203941416,15
plan_0_transport_mode_target_2,8927.680517280822,15
plan_0_transport_mode_target_3,668.6748938276504,15
plan_0_transport_mode_target_4,660.9522124964082,15
plan_0_transport_mode_target_5,14055.813838849443,15
plan_0_transport_mode_target_6,461.6996483647322,15
plan_0_transport_mode_target_7,4355.468201751824,15
plan_0_transport_mode_target_8,636.07921693987,15
plan_0_transport_mode_target_9,6683.422309612798,15
plan_1_distance_eta_prod,22.648457195300672,15
plan_1_distance_eta_prod_rank,20.31843775631322,15
plan_1_distance_eta_prod_ratio_0,21.24795308784149,15
plan_1_distance_eta_prod_ratio_0_rank,23.048505482212825,15
plan_1_distance_eta_ratio,20.05743308831988,15
plan_1_distance_eta_ratio_rank,20.633627542854512,15
plan_1_distance_rank,18.919645666955642,15
plan_1_distance_ratio_0,20.427517100813773,15
plan_1_distance_ratio_0_rank,19.166046117503434,15
plan_1_eta,20.513680794604653,15
plan_1_eta_rank,21.288434407902912,15
plan_1_eta_ratio_0,21.920903959192042,15
plan_1_eta_ratio_0_rank,24.214670171786913,15
plan_1_price,25.20769846478236,15
plan_1_price_distance_eta_prod,22.32313112711142,15
plan_1_price_distance_prod,22.922147593163643,15
plan_1_price_distance_prod_ratio_0,118.31585248797978,15
plan_1_price_distance_ratio,23.752817042510223,15
plan_1_price_eta_prod_ratio_0,147.92043107887054,15
plan_1_price_eta_ratio,24.59602231812105,15
plan_1_price_rank,32.676434875066825,15
plan_1_price_ratio_0,275.5474861038554,15
plan_1_transport_mode,46.608632586285424,15
plan_1_transport_mode_count,58.681004857248645,15
plan_1_transport_mode_count_rank,21.457361067728193,15
plan_1_transport_mode_target_0,31.795463090917107,15
plan_1_transport_mode_target_1,90.48248958124734,15
plan_1_transport_mode_target_10,109.56657244038725,15
plan_1_transport_mode_target_11,234.2557407588095,15
plan_1_transport_mode_target_2,203.85550835777028,15
plan_1_transport_mode_target_3,82.26890073093979,15
plan_1_transport_mode_target_4,134.31104402935054,15
plan_1_transport_mode_target_5,35.944467114660284,15
plan_1_transport_mode_target_6,296.03830618600773,15
plan_1_transport_mode_target_7,190.10727008953538,15
plan_1_transport_mode_target_8,154.012980715,13
plan_1_transport_mode_target_9,34.286363098688334,15
plan_2_distance_eta_prod,20.8455605810083,15
plan_2_distance_eta_prod_rank,20.610706387938425,15
plan_2_distance_eta_prod_ratio_0_rank,22.6333336266953,15
plan_2_distance_eta_ratio,20.673874492989093,15
plan_2_distance_eta_ratio_rank,21.8030060348502,15
plan_2_distance_rank,18.948849066653462,15
plan_2_distance_ratio_0,20.24941284118478,15
plan_2_distance_ratio_0_rank,18.99244172192254,15
plan_2_eta,20.50503518358733,15
plan_2_eta_rank,21.49711320747315,15
plan_2_price,20.8018894805222,15
plan_2_price_distance_eta_prod,20.3094556964442,15
plan_2_price_distance_prod,20.445990973074252,15
plan_2_price_distance_prod_ratio_0,21.01263444707027,15
plan_2_price_distance_ratio,20.640038923239178,15
plan_2_price_eta_prod_ratio_0,21.336972905100843,15
plan_2_price_eta_ratio,20.995211506059228,15
plan_2_price_rank,22.088397696407736,15
plan_2_price_ratio_0,21.143105790559982,15
plan_2_transport_mode,84.30802931114737,15
plan_2_transport_mode_count,56.662113875663344,15
plan_2_transport_mode_count_rank,22.810980403319533,15
plan_2_transport_mode_target_0,65.38682536102955,15
plan_2_transport_mode_target_1,71.90758192774358,15
plan_2_transport_mode_target_10,32.70023292450908,15
plan_2_transport_mode_target_11,118.97153104258095,15
plan_2_transport_mode_target_2,65.27384098259051,15
plan_2_transport_mode_target_3,70.7708752554931,15
plan_2_transport_mode_target_4,96.57553936143495,15
plan_2_transport_mode_target_5,26.01075131855415,15
plan_2_transport_mode_target_6,30.507267534159805,15
plan_2_transport_mode_target_7,118.52275214797893,15
